600c7adef73a5143dfacac59f437fe4ba85bdf65
Benchmark                                                            Mode   Samples         Mean   Mean error    Units
n.q.s.b.Benchmark.benchLargeCsvFromFileMultiLineStrictQuotesTrim     avgt        30     3373.714       15.838    ms/op
n.q.s.b.Benchmark.benchLargeCsvFromFileSimpleStrictQuotesTrim        avgt        30     3032.023       15.692    ms/op

n.q.s.b.Benchmark.benchLongInMemoryStringMultiLine                   avgt        30       16.502        1.048    us/op
n.q.s.b.Benchmark.benchLongInMemoryStringSimple                      avgt        30       11.977        0.767    us/op

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLine                     avgt        30     1758.452      377.449    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimple                        avgt        30     1636.232      246.013    us/op

n.q.s.b.Benchmark.benchSmallCsvFromFileMultiLineStrictQuotesTrim     avgt        30     1631.593      261.644    us/op
n.q.s.b.Benchmark.benchSmallCsvFromFileSimpleStrictQuotesTrim        avgt        30     1607.365      287.933    us/op

n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceMultiLine           avgt        30     1369.167      181.414    ns/op
n.q.s.b.Benchmark.benchRetainQuotesTrimWhitespaceSimple              avgt        30      979.069       88.907    ns/op

n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceMultiLine           avgt        30     1306.430      115.922    ns/op
n.q.s.b.Benchmark.benchStrictQuotesTrimWhitespaceSimple              avgt        30     1017.698       67.465    ns/op
